dt,pred_bps,realized_bps,oof_pred_bps
2025-11-21 12:45:00+05:30,742.9005876545377,-0.18133746779391835,-0.39504490023298505
2025-11-21 16:10:00+05:30,696.0303460280066,-1.2057976449975083,-0.3641272424702669
2025-11-21 16:15:00+05:30,653.2319848713124,5.062432947315898,-0.3358955748464571
2025-11-21 16:20:00+05:30,411.68064964528645,-0.992545083255969,-0.1765577678397514
2025-11-21 16:25:00+05:30,698.4168547173889,3.5393956456797326,-0.36570148779833683
2025-11-21 16:30:00+05:30,119.5031525837585,2.6506701931938714,0.01617526588547881
2025-11-21 16:35:00+05:30,559.2727044023464,-1.394089444459734,-0.273915931124579
2025-11-21 16:40:00+05:30,456.9285780688921,-2.80435443359206,-0.20640527698254874
2025-11-21 16:45:00+05:30,171.51150516458267,2.077847603871863,-0.018131714196025592
2025-11-21 16:50:00+05:30,128.57429574228402,-0.7170093599817573,0.01019154380598436
2025-11-21 16:55:00+05:30,115.89556491968187,-1.2212114191112455,0.018554988218375604
2025-11-21 17:00:00+05:30,1641.8823845388265,-3.0622281682479713,-0.8103482883712079
2025-11-21 17:05:00+05:30,178.99305868434283,0.5311786509532013,0.3565394094043324
2025-11-21 17:10:00+05:30,273.25192670254825,-4.246022580539632,0.28135291952243613
2025-11-21 17:15:00+05:30,565.6447677238192,-0.3112075980393758,0.048122966254392996
2025-11-21 17:20:00+05:30,490.12010666666646,2.6552692225556562,0.1083659363196659
2025-11-21 17:25:00+05:30,417.69192875016324,-0.8668590159910394,0.16613896691697344
2025-11-21 17:30:00+05:30,162.06205646440245,-4.083241139319904,0.37004458566906373
2025-11-21 17:35:00+05:30,211.36285714764907,2.801598738808586,0.3307193292801967
2025-11-21 17:40:00+05:30,-257.23136993046694,-3.7547145048710817,0.7044980076547236
2025-11-21 17:45:00+05:30,-8.523616766288182,-8.440958052021719,0.5061138835931444
2025-11-21 17:50:00+05:30,246.72273203452312,1.809443096896235,0.30251418602626345
2025-11-21 17:55:00+05:30,297.60548056419236,5.1227000800802,-0.4592573012984352
2025-11-21 18:00:00+05:30,-628.4200039121728,1.3481795089198556,-1.17073855452312
2025-11-21 18:05:00+05:30,-2332.4863835522483,1.4034232778503686,-2.480001964320042
2025-11-21 18:10:00+05:30,-1595.8045780001123,14.017513685851135,-1.9139967052548044
2025-11-21 18:15:00+05:30,-1069.5533928173004,0.04244753378568333,-1.5096688989238989
2025-11-21 18:20:00+05:30,-1079.7141373019467,-7.208448506005327,-1.5174755730822453
2025-11-21 18:25:00+05:30,-1350.8640665387973,-2.607017560142255,-1.7258047116418687
2025-11-22 12:35:00+05:30,742.9005876545377,-0.6113957897524447,-0.11712943747770121
2025-11-22 12:40:00+05:30,669.9741671350384,2.249721095457513,-0.17316005643387744
2025-11-22 12:45:00+05:30,490.57542848144766,-1.4342190405336463,-0.31099518251181657
2025-11-22 12:50:00+05:30,120.65420421069862,-0.0770217490930758,-0.5952120001379406
2025-11-22 12:55:00+05:30,224.3619347846718,0.5226516086920263,-0.07524777900814812
2025-11-22 13:00:00+05:30,494.12165010926464,0.15836214171338625,-0.30521931538309144
2025-11-22 13:05:00+05:30,450.01033962166326,0.33675027731439044,-0.2676141976873692
2025-11-22 13:10:00+05:30,466.412042444629,-0.6035222400213591,-0.2815967331924354
2025-11-22 13:15:00+05:30,634.3934137839259,2.256490307934733,-0.4248017110105083
2025-11-22 13:20:00+05:30,644.1870207174787,-2.847582234628554,-0.433150810988062
2025-11-22 16:25:00+05:30,742.9005876545377,-0.0019374525228599282,-0.5173046314436127
2025-11-22 16:30:00+05:30,742.9005876545377,3.4442399411505065,-0.5173046314436127
2025-11-22 16:35:00+05:30,419.15096589554014,-3.422408134768906,-0.24130642382711814
2025-11-22 16:50:00+05:30,742.9005876545377,2.379061521302628,-0.5173046314436127
2025-11-22 16:55:00+05:30,95.35858980737764,-0.652703460887194,0.03472823207355746
2025-11-22 17:00:00+05:30,685.9890927893348,1.0952857715063047,-0.221699483924501
2025-11-22 17:05:00+05:30,642.3476474095289,0.3318684301678587,-0.1970734036711274
2025-11-22 17:10:00+05:30,627.2382246161822,-1.1615009590371095,-0.18854742899148758
2025-11-22 17:15:00+05:30,888.1402292612011,-1.9813617167740993,-0.3357697230456463
2025-11-22 17:20:00+05:30,475.39133927990014,-0.7068402691157161,-0.10286297120204824
2025-11-22 17:25:00+05:30,569.8038359104825,-1.1266063119708125,-0.15613823967017126
2025-11-22 17:30:00+05:30,409.90232735051336,-2.8584261159769753,-0.06590870331628573
2025-11-22 17:35:00+05:30,383.9236432310012,-0.5771706374235741,-0.0512494005723812
2025-11-22 17:40:00+05:30,481.6085802701456,1.5714517108533776,-0.10637124812202386
2025-11-22 17:45:00+05:30,112.90724639112571,3.8919735285736223,0.10168026251451559
2025-11-25 18:00:00+05:30,742.9005876545377,-0.07440253965484978,-0.2538136136856217
2025-11-25 18:05:00+05:30,0.0,2.147060690405045,0.16539178459214793
2025-11-25 18:10:00+05:30,713.0870089198502,-2.0797385205306718,-0.23699034909914635
